Synsemble mobile review coverage inventory
Baseline: a948ca31170668d3d09075708e0401f8a7234907
Closeout: 2026-09-21
Generated builds and the separate Windows repository are excluded.
Area-level coverage is recorded below; this is not an assertion of exhaustive line-by-line review.
Findings, executed tests and acceptance gaps: MOBILE_REVIEW.md

Build/resource configuration: static review and host/Android build checks | .gitattributes
Build/resource configuration: static review and host/Android build checks | .gitignore
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/AndroidManifest.xml
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-anydpi-v26/ic_launcher_round.xml
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-anydpi-v26/ic_launcher.xml
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-hdpi/ic_launcher_foreground.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-hdpi/ic_launcher_round.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-hdpi/ic_launcher.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-mdpi/ic_launcher_foreground.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-mdpi/ic_launcher_round.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-mdpi/ic_launcher.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xhdpi/ic_launcher_foreground.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xhdpi/ic_launcher_round.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xhdpi/ic_launcher.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xxhdpi/ic_launcher_foreground.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xxhdpi/ic_launcher_round.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xxhdpi/ic_launcher.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xxxhdpi/ic_launcher_foreground.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xxxhdpi/ic_launcher_round.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/mipmap-xxxhdpi/ic_launcher.png
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/values/colors.xml
Android metadata/resource: identity/build review; launcher assets regenerated; device checks pending | android/res/values/styles.xml
Android bridge: static review, Release compile; bounded copier host test; device checks pending | android/src/com/aimeetingtable/mobile/AttachmentContentProvider.java
Android bridge: static review, Release compile; bounded copier host test; device checks pending | android/src/com/aimeetingtable/mobile/BoundedStreamCopier.java
